"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed May 15 10:40:55 IST 2024","Wed May 15 10:41:02 IST 2024","7080","net.testcases_worktimemodule.BusinessHierarchy","net.testcases_worktimemodule.BusinessHierarchy","net.testcases_worktimemodule.BusinessHierarchy.HierarchyStructureExcelExport","net.testcases_worktimemodule.BusinessHierarchy.HierarchyStructureExcelExport","hierarchyStructureExcelExport","Hierarchy Structure Excel Export","Hierarchy Structure Excel Export"
"passed","Tue May 14 17:55:12 IST 2024","Tue May 14 17:55:20 IST 2024","8623","softwaredefinitationCURDopertions","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions.SoftwareDefinitationForSoftwareTagsClear","net.testcases_assetoptimizationmodule.softwaredefinitationCURDopertions.SoftwareDefinitationForSoftwareTagsClear","softwareDefinitationForSoftwareTagsCURD","Software Definitation For Software Tags Clear","Software Definitation For Software Tags Clear"
"passed","Tue May 14 14:34:26 IST 2024","Tue May 14 14:34:37 IST 2024","11183","Suite","ie","net.testcases_superadmin.PartitionManagerClear","net.testcases_superadmin.PartitionManagerClear","partitionManagerClear","partitionManagerClear","Test Description:partition manager clear validation"
"passed","Tue May 14 14:19:38 IST 2024","Tue May 14 14:20:03 IST 2024","24876","supergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql","Test","net.testcases_worktimemodule.supergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql.SuperGroupBulkUploadAddMysql","net.testcases_worktimemodule.supergroup_addmodifydelete_with_bulkupload_and_validate_offlinereports_in_mysql.SuperGroupBulkUploadAddMysql","superGroupBulkUploadAdd","Add the SuperGroup and validate whether it has been successfully added through BulkUpload.","Add the SuperGroup and validate whether it has been successfully added through BulkUpload."
"passed","Wed May 15 15:40:07 IST 2024","Wed May 15 15:40:22 IST 2024","14170","net.testcases_wrokflowmodule.validate_customattribute_bulkupload","net.testcases_wrokflowmodule.validate_customattribute_bulkupload","net.testcases_wrokflowmodule.validate_customattribute_bulkupload.CustomAttributeWithFilterbyProcess","net.testcases_wrokflowmodule.validate_customattribute_bulkupload.CustomAttributeWithFilterbyProcess","customAttributeWithDuplicateName","customAttributeWithDuplicateName","Custom Attribute With DuplicateName"
"passed","Tue May 14 14:37:11 IST 2024","Tue May 14 14:37:32 IST 2024","20262","validate_worktemplate_addmodifydelete_administrationmenu","net.testcases_worktimemodule.validate_worktemplate_addmodifydelete_administrationmenu","net.testcases_worktimemodule.validate_worktemplate_addmodifydelete_administrationmenu.DayTypeAddDuplicateValidation","net.testcases_worktimemodule.validate_worktemplate_addmodifydelete_administrationmenu.DayTypeAddDuplicateValidation","addDuplicateValidation","DayType Duplicate Validation.","DayType Duplicate Validation."
"passed","Tue May 14 14:39:48 IST 2024","Tue May 14 14:39:55 IST 2024","6723","Suite","ie","net.testcases_superadmin.DataComponentsDownload","net.testcases_superadmin.DataComponentsDownload","dataComponentsDownload","dataComponentsDownload","Test Description: data components download validation "
"passed","Wed May 15 17:01:54 IST 2024","Wed May 15 17:02:14 IST 2024","19720","net.testcases_worktimemodule.AuditTrailTabValidationWrokTimeAdministrationMenu","net.testcases_worktimemodule.AuditTrailTabValidationWrokTimeAdministrationMenu","net.testcases_worktimemodule.AuditTrailTabValidationWrokTimeAdministrationMenu.ValidateActionAddAuditTrail","net.testcases_worktimemodule.AuditTrailTabValidationWrokTimeAdministrationMenu.ValidateActionAddAuditTrail","actionAdd","Audit Trail actionAdd.","Custom Attribute actionAdd."
"passed","Tue May 14 14:37:33 IST 2024","Tue May 14 14:37:40 IST 2024","6572","Suite","ie","net.testcases_superadmin.GlobalSettingsClientsClearBtn","net.testcases_superadmin.GlobalSettingsClientsClearBtn","globalSettingsClientsClearBtn","globalSettingsClientsClearBtn","Test Description: Global Settings clients clear validation"
"passed","Wed May 15 12:15:37 IST 2024","Wed May 15 12:16:09 IST 2024","32358","Suite","chrome","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolesModifyManagerModuleSelection","net.testcases_worktimemodule.validate_user_roles_administrationmenu.UserRolesModifyManagerModuleSelection","userRolesModifyManagerModuleSelection","userRolesModifyManagerModuleSelection","Test Description: Here we are verifying whether we are able select module "
"passed","Tue May 14 14:36:52 IST 2024","Tue May 14 14:37:01 IST 2024","8343","Suite","ie","net.testcases_superadmin.GlobalSettingEmailServerMissingPasswordRequiredField","net.testcases_superadmin.GlobalSettingEmailServerMissingPasswordRequiredField","globalSettingsEmailServerSave","globalSettingsEmailServerSave","Test Description: Global Settings Email server with missing password reuired filed validation"
